필드명,설명,예시,타입
scenes,씬 목록,,List<Scene>
scenes[].sceneId,씬 고유 ID,1,Int
scenes[].dramaId,드라마 고유 ID,1,Int
scenes[].name,씬 이름,제부119지역대 촬영지,String
scenes[].description,씬 설명,제부119지역대 촬영지이다.,String
scenes[].address,씬의 위치,경기 화성시 만세구 서신면 해안길 156-5,String
scenes[].latitude,씬의 위도,37.1634621695429,Double
scenes[].longitude,씬의 경도,126.621453575266,Double
scenes[].imgUrl,씬 사진 url,https://blog.kakaocdn.net/dna/bE5jWy/dJMcaiKfJJ2/AAAAAAAAAAAAAAAAAAAAALSnBkSSB6Ais1VAUxsdXB2i09sAX_5zSh1ojDpaMzfr/img.jpg?credential=yqXZFxpELC7KVnFOS48ylbz2pIh7yKj8&expires=1782831599&allow_ip=&allow_referer=&signature=v%2B6PIaA7QLQHG9jM7sCVQsFp978%3D,String
