Status,Error Code,Message,발생 조건
204,-,-,회원 탈퇴 처리 성공
400,INVALID_USER_ID,Invalid user ID.,userId 형식이 잘못된 경우.
401,INVALID_OR_EXPIRED_TOKEN,Authentication token is missing or expired.,JWT가 없거나 만료된 경우.
403,ADMIN_AUTHORITY_REQUIRED,Admin privileges are required.,JWT는 유효하지만 ADMIN 권한이 없는 경우.
404,USER_NOT_FOUND,User not found.,탈퇴 처리할 대상 사용자가 존재하지 않는 경우.
409,CANNOT_DELETE_SELF,You cannot delete your own account.,관리자가 자기 자신의 계정을 탈퇴 처리하려고 하는 경우.
409,USER_ALREADY_WITHDRAWN,User has already been withdrawn.,대상 사용자가 이미 탈퇴 처리된 경우.
409,CANNOT_DELETE_SUPER_ADMIN,Super admin accounts cannot be deleted.,최고 관리자 또는 보호 계정을 탈퇴 처리하려고 하는 경우.
422,USER_HAS_ACTIVE_DEPENDENCIES,User cannot be withdrawn due to active dependencies.,"진행 중인 주문, 결제, 정산, 신고 처리 등 즉시 탈퇴를 막는 의존성이 있는 경우."
