Error Code,Message,Status,발생 조건
,,,
INVALID_RADIUS_PARAMETER,Invalid radius parameter.,400,radiusKm가 0보다 작거나 허용된 최대 검색 반경을 초과한 경우
SUCCESS,Nearby attractions retrieved successfully.,200,기준 드라마 씬 주변 관광지 목록을 정상 조회한 경우
INVALID_SCENE_ID,Invalid scene ID.,400,sceneId가 숫자 형식이 아니거나 1보다 작은 경우
INVALID_CONTENT_TYPE_ID,Invalid content type ID.,400,contentTypeId가 숫자 형식이 아니거나 1보다 작은 경우
INVALID_PAGE_PARAMETER,Invalid page parameter.,400,page가 0보다 작거나 size가 1보다 작은 경우
SCENE_NOT_FOUND,Scene not found.,404,sceneId에 해당하는 드라마 씬이 존재하지 않는 경우
SCENE_LOCATION_UNAVAILABLE,Scene location is unavailable.,422,기준 드라마 씬에 위도 또는 경도 정보가 없어 주변 관광지를 계산할 수 없는 경우
