필드명,설명,예시,타입
sceneId,Scene의 고유 ID,1,Int
dramaId,Drama의 고유 ID,1,Int
name,Scene의 이름,제부119지역대 촬영지,String
description,Scene의 설명,제부119지역대 촬영지이다.,String
address,Scene의 위치,경기 화성시 만세구 서신면 해안길 156-5,String
latitude,Scene의 위도,37.1634621695429,Double
longitude,Scene의 경도,126.621453575266,Double
imgUrl,Scene 사진 url,https://blog.kakaocdn.net/dna/bE5jWy/dJMcaiKfJJ2/AAAAAAAAAAAAAAAAAAAAALSnBkSSB6Ais1VAUxsdXB2i09sAX_5zSh1ojDpaMzfr/img.jpg?credential=yqXZFxpELC7KVnFOS48ylbz2pIh7yKj8&expires=1782831599&allow_ip=&allow_referer=&signature=v%2B6PIaA7QLQHG9jM7sCVQsFp978%3D,String
